"","customernumber","date","salutation","title","domain","datecreated","newsletter","model","paymenttype","deliverytype","invoicepostcode","delivpostcode","voucher","advertisingdatacode","case","numberitems","gift","entry","points","shippingcosts","deliverydatepromised","deliverydatereal","weight","remi","cancel","used","w0","w1","w2","w3","w4","w5","w6","w7","w8","w9","w10","target90"
"6486",17847,"2008-06-17",1,0,4,"2008-06-17",0,1,3,0,45,"",0,"",5,4,0,0,0,0,"2008-07-01","2008-07-05",1464,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"6487",51773,"2008-11-27",0,0,9,"2008-11-27",0,3,1,1,42,"",0,"",3,3,0,1,0,0,"2008-11-28","2008-11-28",811,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
"6488",33615,"2008-10-21",1,0,4,"2008-10-21",0,1,0,0,70,"",1,"AX",1,1,0,0,0,0,"2008-10-23","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"6489",56071,"2008-12-17",0,0,12,"2008-12-17",0,1,0,0,30,"",0,"",4,2,0,0,0,0,"2008-12-19","2008-12-18",1105,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"6490",15808,"2008-09-24",1,0,1,"2008-09-24",0,3,0,0,47,"",0,"",4,1,0,1,0,0,"2008-10-08","2008-11-15",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6491",9306,"2008-10-30",1,0,12,"2008-10-30",0,1,0,0,68,"",0,"",1,1,0,0,0,0,"2008-11-03","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"6492",22494,"2008-12-28",0,0,4,"2008-12-28",1,1,0,0,93,"",0,"",3,3,0,0,0,0,"2008-12-30","2008-12-29",1225,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
"6493",13972,"2008-05-02",0,0,0,"2008-05-02",0,1,2,0,65,"",0,"BQ",4,2,0,0,0,0,"2008-05-05","0000-00-00",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"6494",2948,"2008-09-30",1,0,9,"2008-09-30",0,1,2,0,10,"",0,"",2,1,0,0,0,0,"2008-10-02","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6495",53893,"2008-11-03",2,0,12,"2008-11-03",1,1,0,0,1,"",0,"BQ",4,1,0,0,0,0,"2008-11-04","2008-11-03",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6496",63257,"2008-04-25",0,0,12,"2008-04-25",1,3,2,0,51,"",0,"",3,1,0,1,0,1,"2008-04-29","2008-04-26",272,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6497",39352,"2008-08-28",1,0,5,"2008-08-28",0,2,1,1,40,"",0,"",4,2,0,1,0,0,"2008-08-29","2008-08-28",738,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6498",65321,"2008-05-24",1,0,9,"2008-05-24",0,2,0,0,45,"",1,"",1,2,0,1,0,0,"2008-05-27","2008-05-26",638,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"6499",43916,"2008-11-06",1,0,4,"2008-11-06",0,1,0,0,80,"",0,"",3,1,0,0,0,0,"2008-11-07","2008-11-06",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6500",873,"2008-09-04",0,0,9,"2008-09-04",0,2,2,0,50,"",0,"",3,1,0,1,0,0,"2008-09-08","2008-09-05",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6501",37631,"2008-06-14",0,0,2,"2008-06-14",0,1,0,0,12,"",0,"BQ",3,2,0,0,0,0,"2008-06-17","2008-06-16",598,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6502",49555,"2008-12-19",1,0,4,"2008-12-19",0,2,1,1,59,"",0,"",2,1,0,1,0,0,"2008-12-23","2008-12-21",585,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6503",27012,"2008-05-24",1,0,5,"2008-05-24",0,1,2,0,52,"",0,"CA",3,1,0,0,0,0,"2008-05-27","2008-05-26",909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"6504",50552,"2008-11-28",0,0,12,"2008-11-28",0,3,0,0,61,"",0,"",4,5,0,1,0,0,"2008-12-01","2008-11-29",1394,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
"6505",42657,"2008-05-17",1,0,4,"2008-05-17",1,1,2,0,13,"",0,"",3,1,0,0,0,0,"2008-05-20","2008-05-19",473,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6506",4605,"2008-12-11",0,0,5,"2008-12-11",0,2,2,0,50,"",0,"",3,1,0,1,0,0,"2008-12-12","2008-12-12",796,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6507",53357,"2008-11-26",0,0,4,"2008-11-26",0,3,1,1,24,"",0,"",5,2,0,1,0,0,"2008-11-28","2008-11-27",319,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"6508",7522,"2008-05-05",1,0,12,"2008-05-05",0,3,1,1,21,"",0,"",3,1,0,1,0,0,"2009-05-08","2008-07-05",723,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"6509",38870,"2008-12-11",1,0,4,"2008-12-11",0,1,0,0,1,"",1,"",1,1,0,0,0,0,"2008-12-15","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6510",10378,"2008-10-10",0,0,4,"2008-10-10",0,1,0,0,91,"",0,"",4,1,0,0,0,0,"2008-10-14","2008-10-11",770,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"6511",13858,"2008-10-19",0,0,9,"2008-10-19",0,3,2,0,65,"65",0,"",3,2,0,1,0,0,"2008-10-21","2008-10-20",657,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"6512",10771,"2008-12-19",0,0,9,"2008-12-19",0,3,2,0,24,"",0,"",3,1,0,1,0,0,"2008-12-23","2008-12-20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6513",30265,"2008-07-18",0,0,12,"2008-07-18",0,2,0,0,59,"",1,"",1,2,0,1,0,1,"2008-07-21","2008-07-18",538,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"6514",34031,"2008-12-08",1,0,4,"2008-12-08",0,1,2,0,23,"",0,"AB",5,8,0,0,0,0,"2008-12-23","2008-12-09",2194,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"6515",45502,"2008-09-11",0,0,8,"2008-09-11",0,1,0,0,65,"",0,"",4,2,0,0,0,0,"2008-09-15","2008-09-12",1277,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"6516",22862,"2008-05-11",2,0,4,"2008-05-11",0,1,0,0,29,"",0,"BQ",3,3,0,0,0,0,"2008-05-14","2008-05-13",623,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"6517",65803,"2008-04-13",2,0,8,"2008-04-13",1,1,0,0,23,"",0,"",4,3,0,0,0,0,"2008-04-15","2008-04-14",1714,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
"6518",22285,"2008-07-14",0,0,8,"2008-07-14",0,2,3,0,47,"",1,"",2,3,0,1,0,0,"2008-07-29","2008-07-15",723,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"6519",1846,"2008-11-28",0,0,4,"2008-11-28",0,1,0,0,10,"",0,"",4,2,0,0,0,0,"2009-12-01","2008-12-23",557,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"6520",29005,"2008-04-02",2,0,12,"2008-04-02",0,2,0,0,44,"",0,"",4,1,0,1,0,0,"2008-05-02","2008-04-02",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
